seller_id,seller_zip_code_prefix,seller_city,seller_state
ec8879960bd2221d5c32f8e12f7da711,13253,itatiba,SP
343e716476e3748b069f980efbaa294e,13033,campinas,SP
33ab10be054370c254ddfcf0a6253422,22790,rio de janeiro,RJ
9bc484c87d79cd4874e05ca182658045,02422,sao paulo,SP
dfc475d54e1b6dbeeb7d7d9bdaa63827,81460,curitiba,PR
1b7e5006cb25dd23ce8686691013b121,02350,sao paulo,SP
1ce3ae5a399804d1a87e706f8a813c3e,88715,jaguaruna,SC
42fa4ee7240e9b8eb4576358ec142ba7,95012,caxias do sul,RS
fe1bbc5feda5c8979a8a1b3b2512d5a6,38680,arinos,MG
651fe66032c9520ee5587f694908040d,94810,alvorada,RS
d93844a9c55ba7ce353388bcf849ea56,82320,curitiba,PR
2c9005d8043aff18b8557ffb7b13cda4,29304,cachoeiro de itapemirim,ES
612a743d294c27884fb7b80d2b19ba35,80620,curitiba,PR
b6c6854d4d92a5f6f46be8869da3fa1a,01042,sao paulo,SP
ebd1417732defaf66c50b5a800eb293e,86047,londrina,PR
bc8c8d665ec4664d286be0d521722b19,04851,sao paulo,SP
32f1bb9dfa65bc7df5c0d9d95a616be4,04705,sao paulo,SP
11fb6f6d341adbe19e81733701704635,04133,sao paulo,SP
5b2e94f2c22b39ccc24d34ad0f669672,01214,sao paulo,SP
0b1ca3ef18a63d7eb0c8897fa0849c08,18131,sao roque,SP
a0d7fbb07bb5ebc3b05980e750db56f3,08500,ferraz de vasconcelos,SP
8378eb36b6b70c5734e83ad7b8cdc3b7,88301,itajai,SC
3d01d1c414c44b5943a09619ff3853cb,13040,campinas,SP
34675b28b826facfde119785bf287dc1,85802,cascavael,PR
bba8d0c234a52b87b3957037a215d1a4,74343,goiania,GO
9616352088dcf83a7c06637f4ebf1c80,87504,umuarama,PR
c9d2ba8dde44a275ae06475ed1d2fafc,38400,uberlandia,MG
8bdd8e3fd58bafa48af76b2c5fd71974,01552,sao paulo,SP
8b321bb669392f5163d04c59e235e066,01212,sao paulo,SP
f0837c8d71434931d9e38e7b79234797,95995,arvorezinha,RS
18a349e75d307f4b4cc646a691ed4216,01319,sao paulo,SP
822166ed1e47908f7cfb49946d03c726,25803,tres rios,RJ
3442033154be05bac582e173ef54fd12,05413,sao paulo,SP
5f5b43b2bffa8656e4bc6efeb13cc649,04880,sao paulo,SP
b9c0ffa92f3ff9a5a3d45ef7213c0842,08246,sao paulo,SP
960945e1a9535cbc0cd6ddd35fbe7ae8,08290,sao paulo,SP
7ad41305e96a6cab8294cd65891e9a86,28810,rio bonito,SP
b29d3380981c51df13fc6fbe87e1763d,14057,ribeirao preto,SP
a0415d9b25ede3c4b1e477e9916ffc03,26255,nova iguacu,RJ
f181738b150df1f37cb0bd72e705b193,06317,carapicuiba,SP
b6dc74ed30f124f95227bed4e43a3bed,86702,arapongas,PR
0d4c8269e7f0401201794deef160edd6,14076,ribeirao preto,SP
c6bda72e4dbf5c5866b13cb1810c6d03,03087,sao paulo,SP
afac9f6b0c4e5f0a7ee87e922cd0f873,17047,bauru,SP
3f3486b61f45078d4f31ee5e43d8c5bb,03035,sao paulo,SP
9ed65337433adfbedefd23dd76eaa494,05462,sao paulo,SP
3d8fa2f5b647373c8620330c4e077a9f,03031,sao paulo,SP
bb7ad8a45c027be8ab075b8e465f8ca0,88056,floranopolis,SC
e333046ce6517bd8bb510291d44f0130,18950,ipaussu,SP
575df70bde3f9f2b30bf8d2e9910d725,15075,sao jose do rio preto,SP
491a5ada3aa1678414e990262c4bbdc1,04208,sao paulo,SP
c500367424994318b9e779ff1ae9a330,13145,paulinia,SP
cf1313c6e2c01c2f4b014f97db4bcd2b,22050,rio de janeiro rio de janeiro,RJ
95ec4458365c4d11f452ccf538377619,13481,limeira,SP
820cc752a266cdc6c1a1e61dd4583330,87050,maringa,PR
ea00f977a203ff88adf7057cb7806998,11085,santos,SP
741f8c587cb4248ebc5b779a0e8e0e51,09110,santo andre,SP
f5f1f2c5f923f36ad79ea1d07185ddc9,19820,taruma,SP
0bb738e4d789e63e2267697c42d35a2d,18130,sao roque,SP
5f3ae9136c875522250f8184f253413a,01550,sao paulo,SP
45ba18c210d42734ec52c0c1c574e9ee,18130,sao roque,SP
422be4cc81a457fdb46f47edeb968ae5,14940,ibitinga,SP
a4bd6e9adf39b63f43dc545d3ca1f53d,21020,rio de janeiro,RJ
f12d3c2a14729ae461b920c11fe20fdc,09080,santo andre,SP
9df5750209b83567ec144eb299d7d634,93032,sao leopoldo,RS
d71d863e5ef30d94e440c11be17dcd8f,06144,osasco,SP
70c0fda4c313d87115644d39e62eec60,55004,caruaru,PE
55f7a3319d80f7fdf078b8f03e6725fe,06056,osasco,SP
0ea22c1cfbdc755f86b9b54b39c16043,35700,sete lagoas,MG
f4ce8ca9fa7157e3b33f536ac9a4487d,16306,penapolis,SP
436bf27f2f18474fc6047702e9f8a866,13041,campinas,SP
aba1721a889e04decc910aa13b768ef4,05729,sao paulo,SP
f97e2b0650c2068227e1d366140eb62f,13830,santo antonio de posse,SP
0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP
ffc470761de7d0232558ba5e786e57b7,07091,guarulhos,SP
3bb32fedaa74e4ad20f4ce067733bd31,88210,porto belo,SC
e0482f2c769468c3bbcd8a01e09d98c5,02320,sao paulo,SP
83deb69e889cf80f82be1dc6d5f2d486,88056,florianopolis,SC
2fa13c8bd5705d279f7ed5cc9ec61c68,04679,sao paulo,SP
e0eabded302882513ced4ea3eb0c7059,13023,campinas,SP
3606774ec64634822d78dc2db6d37045,09510,sao caetano do sul,SP
eb1bf309f4f6af9a97e9ddac3fdbeabe,09961,diadema,SP
c0f783394e37cd9c9d7f5f81141450fa,13416,piracicaba,SP
ba8e85df286308fe68a2ce83a8f8b2d6,88135,santa catarina,SC
2305ab43e846518f58dd9d59f3f54e96,08452,sao paulo,SP
f46490624488d3ff7ce78613913a7711,07194,guarulhos,SP
4450bd8327d471c4a11a83d1445b1b62,06714,cotia,SP
bd65d163ded559eb90a10cd09fec178f,03526,sao paulo,SP
ec5c1d94df153d473b37f880977ae58e,21320,rio de janeiro,SP
5e9f5bd34e0830569f05c9d4f56e04a8,90560,porto alegre,RS
262237171f48e85819065498cac80d7b,88352,brusque,SC
b026643914f651e8371425e5b8a1e780,22783,rio de janeiro,RJ
98dac6635aee4995d501a3972e047414,02030,sao paulo,SP
eb4df17aed01d918c65f0f8d650900c0,13140,paulinia,SP
bede56095ba33c42038fb85f707b8a42,13271,valinhos,SP
863d2ebcd347ce4922de7a0f9a5581d6,21041,rio de janeiro,RJ
70f84699be677ec988d1fa824aef7d90,35700,sete lagoas,MG
bbf4a892cac7b82422baa711dffb8997,82200,curitiba,PR
180c3376aff0e43dd5788709df48a843,09911,sao paulo,SP
ceaec5548eefc6e23e6607c5435102e7,03821,sao paulo,SP
725af026f869236a8dd0ceb98564d156,35530,claudio,MG
83d7070a0b9a8b4625fa8682b819fabb,06717,cotia,SP
9996ae921c50e8dff411ac69c0b4bb8b,17605,tupa,SP
8f78f0903005064036736c7173a5c2ed,36325,tiradentes,MG
6061155addc1e54b4cfb51c1c2a32ad8,13043,campinas,SP
4bcec44888b30ba9001234c534716d3f,09230,santo andre,SP
aadfe0417e61315688b6bd7043361e25,74340,goiania,GO
9485a23c0430ba1d58d359391606fce6,09015,santo andre,SP
010da0602d7774602cd1b3f5fb7b709e,09710,sao bernardo do campo,SP
41b86b552e54e3a7009596125aa8b167,02470,sao paulo,SP
e3dd723429d1b23614b7fa85e2c7a853,09810,sao bernardo do campo,SP
c7246702dc991a06d788120dc7544391,60440,fortaleza,CE
d7f1cfc638473be93baedbfd02208016,26112,belford roxo,RJ
b6d44737c043328708f6749c2dbe50bd,09230,santo andre,SP
f435898e493ba0356019a0b1cb8b55b1,81720,curitiba,PR
278b6e0b20c4f61fefaa0577943d7a35,88316,itajai,SC
1c68394e931a64f90ea236c5ea590300,87114,sarandi,PR
1d953075c2f0dd990bacf27b83b330f1,30421,belo horizonte,MG
5a6a02f419701fc8c605af71d4fc57a4,13465,americana,SP
9c54608f0996c32ae4743089d915f845,87900,loanda,PR
556a6409838156ea299c9d1f9e2dde43,81200,curitiba,PR
8a43128d7f9a3db592b866e6861a6cce,08080,sao paulo,SP
052577151711aec5c744fe12e66db3e1,89136,rodeio,SC
d8d9567d0bfb0bc7eb845a205ba42657,03688,sao paulo,SP
888faa8bfb0b159c37de6d898b961c31,88750,braco do norte,SC
d101c6da914ae3d53f7bee42283f2fe2,08072,sao paulo,SP
0f7eea709efdf942b5f95c7516dbacd7,19865,pedrinhas paulista,SP
623ad9d0c1e14bb5464a8c72bff7b4af,35530,claudio,MG
24a6daf925d9d591870a66660416de31,14078,robeirao preto,SP
686886775c8f6b1191c7b953fb52708c,13920,pedreira,SP
c37b2059d4f90d4feead554e5246565e,05170,sao paulo,SP
71593c7413973a1e160057b80d4958f6,03407,sao paulo  sao paulo,SP
0af2ab31141893d26aca5a404a537dab,03431,sao paulo,SP
cf2384dd2f1dddea3f838efed0945e65,13930,serra negra,SP
0432ead42b6c8a0bdf68154add917fdf,09320,maua,SP
a420f60ff1aa9acc80d0e42959f2b313,05138,sao paulo,SP
270d3ef21830ad0ecf3a6c53d08a533a,06380,carapicuiba,SP
2f3d8b4c9e2ee165075331fea3f3095a,88107,sao jose,SC
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP
71dc18fd8cbf5fd77f45dd8b427abb34,82520,curitiba,PR
a254c682cc01e119f83530446f1df9a9,16500,cafelandia,SP
50c9975695009e5e6473912e83a6d1da,35530,claudio,MG
78ba5933c21686d1c2f64669c8c459e7,08810,mogi das cruzes,SP
89a51f50b8095ea78d5768f34c13a76f,71931,brasilia,DF
d52cbce9845184537284a23c3bc3da0e,88495,garopaba,SC
44717f64ec2a457979cf83c429077666,98780,santa rosa,RS
7b8e8ec35bad4b0ef7e3963650b0a87b,88705,tubarao,SC
63ffcb71394dd8ea3872ed9ffda17c74,24813,itaborai,RJ
bf84056e679dbe9c69929847a40e338f,02537,sao paulo,SP
fac1a9017ade7bdc94058fc1c969f355,01126,sao paulo,SP
d93919c944be9cff128f6c9cb899eacb,13375,mombuca,SP
101a3a003516bc11253298b2fad3cb65,13503,rio claro,SP
b18dc380845b24038cfc48006478f099,09951,diadema,SP
817f85dbb65aa3e70831d90fe75cdf89,18530,tiete,SP
